12	6	E	-4.29323182585187E8	50
probinit	1	5.710649485540305E-4
probinit	2	3.294684880612052E-43
probinit	3	0.9900323571823811
probinit	4	5.986058215135835E-74
probinit	5	8.308054566140385E-4
probinit	6	3.512815292978501E-73
probinit	7	0.002238176943892161
probinit	8	4.883199703729874E-4
probinit	9	1.754090345728935E-4
probinit	10	0.0011584327599822608
probinit	11	0.0027478959784100225
probinit	12	0.0017575377252203631
transitionprobs	1	1	0.8468544447591224
transitionprobs	1	2	0.12338992997384031
transitionprobs	1	3	0.0
transitionprobs	1	4	0.002921551491194881
transitionprobs	1	5	2.2510469194740782E-4
transitionprobs	1	6	7.798667752661705E-4
transitionprobs	1	7	7.976574992032188E-5
transitionprobs	1	8	0.007653921819175325
transitionprobs	1	9	1.5465097549792996E-5
transitionprobs	1	10	0.0013305586887795416
transitionprobs	1	11	0.016314514141829477
transitionprobs	1	12	4.3487681137432233E-4
transitionprobs	2	1	0.015995419691259605
transitionprobs	2	2	0.927135083261296
transitionprobs	2	3	0.05278896216839744
transitionprobs	2	4	8.861670585942996E-4
transitionprobs	2	5	4.049737033553211E-5
transitionprobs	2	6	2.3867529533331278E-4
transitionprobs	2	7	0.0
transitionprobs	2	8	0.00217186564417283
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	7.433295106109471E-4
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0
transitionprobs	3	2	0.001759929077959909
transitionprobs	3	3	0.9925812460443535
transitionprobs	3	4	0.0027072307551558143
transitionprobs	3	5	0.0
transitionprobs	3	6	3.825314742970714E-4
transitionprobs	3	7	0.0
transitionprobs	3	8	0.002193530288692488
transitionprobs	3	9	8.471191166855317E-5
transitionprobs	3	10	4.3717368165637035E-6
transitionprobs	3	11	2.6697216271313754E-4
transitionprobs	3	12	1.9476548342959724E-5
transitionprobs	4	1	3.2382830197553026E-4
transitionprobs	4	2	7.188463579841832E-4
transitionprobs	4	3	0.06542726213594707
transitionprobs	4	4	0.9304542264176493
transitionprobs	4	5	0.001019834866318327
transitionprobs	4	6	0.0012004211831622405
transitionprobs	4	7	4.360914385495735E-7
transitionprobs	4	8	5.728605732208173E-4
transitionprobs	4	9	1.8868554787489122E-4
transitionprobs	4	10	5.135608072560103E-6
transitionprobs	4	11	6.782997436005796E-5
transitionprobs	4	12	2.0632941996567858E-5
transitionprobs	5	1	2.997401698961028E-5
transitionprobs	5	2	2.5069408657500204E-5
transitionprobs	5	3	1.4153687861166552E-8
transitionprobs	5	4	7.76271658737267E-4
transitionprobs	5	5	0.9458804886487766
transitionprobs	5	6	0.0446643180632172
transitionprobs	5	7	0.008418511523852958
transitionprobs	5	8	2.0007750193698417E-4
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	5.2750241440851325E-6
transitionprobs	5	12	0.0
transitionprobs	6	1	3.3918187667486656E-5
transitionprobs	6	2	9.442061445347141E-5
transitionprobs	6	3	0.003942820026555641
transitionprobs	6	4	4.6417814744564075E-4
transitionprobs	6	5	0.025796604803975175
transitionprobs	6	6	0.9398590186428635
transitionprobs	6	7	5.130033372451112E-4
transitionprobs	6	8	0.02569464401988693
transitionprobs	6	9	0.002596141789571049
transitionprobs	6	10	4.0624105986472756E-7
transitionprobs	6	11	8.579128873518942E-4
transitionprobs	6	12	1.469313019242951E-4
transitionprobs	7	1	7.572963849297775E-5
transitionprobs	7	2	0.0
